Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-08-07,The Crowded Room,2023,https://boxd.it/4EAKsz,4.5,,"No entiendo las críticas ""especializadas"". Una maravilla de serie, profunda, intimista, con actuaciones soberbias.",,2023-08-06
2023-10-06,(500) Days of Summer,2009,https://boxd.it/4WOlsJ,4.5,Yes,"La escena del auto, mientras suena Quelqu’un m’a dit, sigue siendo la más linda y triste de toda la película, no importa cuantas veces la veas.",,2023-10-05
2023-10-31,I'm Not Your Mom,2019,https://boxd.it/557CnL,3,Yes,Los animadores de mis cumpleaños infantiles no se parecían en nada a Christian Sancho.,,2023-10-30
2023-11-20,Inseparables,2016,https://boxd.it/5bB6P3,3.5,,"Es que Rodrigo de la Serna bailando ""Bombón asesino"" no ayuda para que yo lo ame menos.",,2023-11-19
2023-12-11,Begin Again,2013,https://boxd.it/5iQzyD,3.5,,"El mayor problema de tener una película por muchos años en tu lista de pendientes es que durante todo ese tiempo vas viendo posts, reels, comentarios y las expectativas crecen a nivel exponencial. Bueno, exactamente eso me pasó con Begin Again: es hermosa, con canciones y locaciones preciosas e inspiradoras, pero me quedé con ganas de más, de conectar y sentir con ellos a través de la música.",,2023-12-10
2023-12-16,127 Hours,2010,https://boxd.it/5kul1z,4,,Nueva fobia desbloqueada: los cañones.,,2023-12-15
2023-12-20,A Perfect Story,2023,https://boxd.it/5m50GJ,5,Yes,Te llena el corazón de sentimientos bonitos ❤️,,2023-12-19
2024-01-20,Alcatraz,2018,https://boxd.it/5DlY4v,2.5,,"Buen comienzo, regular desarrollo, pésima cancelación.",,2024-01-06
2024-01-22,Crazy About Her,2021,https://boxd.it/5EuIAn,4.5,Yes,"Está llena de clichés pero yo la amo, es mi comfort movie española para reir y llorar al mismo tiempo.",,2024-01-21
2024-03-13,Beautiful Boy,2018,https://boxd.it/62ljKP,5,Yes,"Para mi el cine son sentimientos, chispas que la historia, por más pequeña que sea, me transmite a través de la pantalla. Y eso es <i>Beautiful Boy<i> cada vez que la veo, chispas de tristeza, melancolía, dolor, esperanza, familia, fuerza.",,2024-03-12
2024-03-23,A Perfect Story,2023,https://boxd.it/66LIiT,5,Yes,"Te llena el corazón de sentimientos bonitos. La química entre ellos es alucinante, real, traspasa la pantalla. Un cuento perfecto, una historia de amor hermosa. ❤️",,2024-03-22
2024-05-30,Maxton Hall: The World Between Us,2024,,4,,Sólo soy una chica llorando con todas las historias de <i>enemies to lovers<i> que vea.,,2024-05-29
2024-06-05,A Part of You,2024,https://boxd.it/6C3QMn,4.5,,"La crudeza del cine sueco es algo que me fascina. De adolescente, <i>Lilja 4-ever<i> me inició en una seguidilla de películas de ese país nórdico que me mostraron otra manera de transmitir las emociones, principalmente la tristeza y el duelo, como en <i>En del av dig<i>, desde un lado más desgarrador e íntimo. Un coming-of-age honesto, transparente. El tener que crecer y salir adelante por obligación, por propia necesidad.",,2024-06-04
