Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-26,Christmas Movies 🎄,"top, ranked, christmas movies, christmas, movies, 🎄",https://boxd.it/QXAwE,"All the 🎄 Christmas 🎄 movies, short films, tv shows and miniseries that I’ve seen, ranked from best to worst according to my opinion.

[This list is continually in progress.]"

Position,Name,Year,URL,Description
1,The Holdovers,2023,https://boxd.it/vHza,
2,Less Than Zero,1987,https://boxd.it/1PAA,
3,Edward Scissorhands,1990,https://boxd.it/2aZc,
4,Home Alone,1990,https://boxd.it/29Fg,
5,The Shop Around the Corner,1940,https://boxd.it/1DFy,
6,Goodbye June,2025,https://boxd.it/T55Y,
7,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,
8,Jingle All the Way,1996,https://boxd.it/1Z58,
9,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,
10,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,
11,An Almost Christmas Story,2024,https://boxd.it/Qe3w,
12,Bad Christmas,2021,https://boxd.it/nmSa,
13,A Holiday Short: Best Christmas Ever,2025,https://boxd.it/YRPK,
14,Falling for Christmas,2022,https://boxd.it/vpEG,
15,Bridget Jones's Diary,2001,https://boxd.it/29WQ,
16,Oh. What. Fun.,2025,https://boxd.it/M5u6,
17,Brazil,1985,https://boxd.it/2be2,
18,Champagne Problems,2025,https://boxd.it/OwgO,
19,The Merry Gentlemen,2024,https://boxd.it/NdXM,
20,Our Little Secret,2024,https://boxd.it/KVeA,
21,A Merry Little Ex-Mas,2025,https://boxd.it/RUFY,
22,Carry-On,2024,https://boxd.it/C0B2,
