Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-02-06,A24 Ranked,"top, ranked, a24",https://boxd.it/DS8dM,"All the movies and TV shows originally produced and/or distributed by <i>A24 Films<i> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Aftersun,2022,https://boxd.it/Arw0,
2,Lady Bird,2017,https://boxd.it/dGNE,
3,Midsommar,2019,https://boxd.it/jhxe,
4,The Iron Claw,2023,https://boxd.it/w5Pm,
5,Good Time,2017,https://boxd.it/fcFu,
6,We Live in Time,2024,https://boxd.it/FC5u,
7,Past Lives,2023,https://boxd.it/oNB8,
8,The Spectacular Now,2013,https://boxd.it/4VSG,
9,Eternity,2025,https://boxd.it/LYtK,
10,Eddington,2025,https://boxd.it/o6MC,
11,Pearl,2022,https://boxd.it/zPbe,
12,The Curse,2023,https://boxd.it/IWYq,
13,"Sorry, Baby",2025,https://boxd.it/JKNi,
14,A Different Man,2024,https://boxd.it/BoEC,
15,Warfare,2025,https://boxd.it/LbRo,
16,Talk to Me,2022,https://boxd.it/C6uQ,
17,Babygirl,2024,https://boxd.it/Fvai,
18,Dream Scenario,2023,https://boxd.it/v2h0,
19,Stars at Noon,2022,https://boxd.it/mfNU,
20,Materialists,2025,https://boxd.it/GZlW,
21,X,2022,https://boxd.it/sxVa,
22,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
23,Under the Silver Lake,2018,https://boxd.it/dSAs,
24,Bring Her Back,2025,https://boxd.it/Hxlc,
25,The Zone of Interest,2023,https://boxd.it/gJsA,
26,The Green Knight,2021,https://boxd.it/kuy2,
27,MaXXXine,2024,https://boxd.it/CIM4,
28,Heretic,2024,https://boxd.it/H1lY,
29,The Brutalist,2024,https://boxd.it/k4BO,
30,Green Room,2015,https://boxd.it/a75m,
31,I Saw the TV Glow,2024,https://boxd.it/woVe,
32,Opus,2025,https://boxd.it/JBMA,
33,When You Finish Saving the World,2022,https://boxd.it/pOZW,
34,The Lobster,2015,https://boxd.it/7tnw,
