Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-24,Oscars 2025 Ranked,"top, ranked, oscars, oscars2025, oscars 2025",https://boxd.it/DkBcA,"All the 2025 Oscar-nominated movies, short films or documentaries that I’ve seen, ranked from best to worst according to my opinion.

[This list is in progress.] [Todavía no puedo creer que la mejor película del 2024, <a href=""https://boxd.it/6AjeIB""><i>Challengers<i></a>, tenga 0 nominaciones.]

Winner: 🏆
My favorite: ❤️

<b>Best Picture<b>
<a href=""https://boxd.it/8hkTOn""><i>Anora<i></a> ❤️ 🏆
<a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a>
<a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a>
<a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a>
<i>Dune: Part Two<i>
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> 
<a href=""https://boxd.it/9j8gWf""><i>I’m Still Here<i></a> 
<i>Nickel Boys<i>
<a href=""https://boxd.it/7L1LVp""><i>The Substance<i></a> 
<i>Wicked<i>

<b>Directing<b>
Jacques Audiard, <a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a>
Sean Baker, <a href=""https://boxd.it/8hkTOn""><i>Anora<i></a> ❤️ 🏆
Brady Corbet, <a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a>
Coralie Fargeat, <a href=""https://boxd.it/7L1LVp""><i>The Substance<i></a>
James Mangold, <a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a>

<b>Actor in a Leading Role<b>
Adrien Brody, <a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a> 🏆
Timothée Chalamet, <a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a> ❤️
Colman Domingo, <i>Sing Sing<i>
Ralph Fiennes, <a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a>
Sebastian Stan, <i>The Apprentice<i>

<b>Actress in a Leading Role<b>
Cynthia Erivo, <i>Wicked<i>
Karla Sofía Gascón, <a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a>
Mikey Madison, <a href=""https://boxd.it/8hkTOn""><i>Anora<i></a> 🏆
Demi Moore, <a href=""https://boxd.it/7L1LVp""><i>The Substance<i></a> ❤️
Fernanda Torres, <a href=""https://boxd.it/9j8gWf""><i>I’m Still Here<i></a>

<b>Actor in a Supporting Role<b>
Yura Borisov, <a href=""https://boxd.it/8hkTOn""><i>Anora<i></a>
Kieran Culkin, <i>A Real Pain<i> 🏆
Edward Norton, <a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a> ❤️
Guy Pearce, <a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a>
Jeremy Strong, <i>The Apprentice<i>

<b>Actress in a Supporting Role<b>
Monica Barbaro, <a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a> ❤️
Ariana Grande, <i>Wicked<i>
Felicity Jones, <a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a>
Isabella Rossellini, <a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a>
Zoe Saldaña, <a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> 🏆

<b>Writing (Adapted Screenplay)<b>
<a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a> (Screenplay by James Mangold and Jay Cocks)
<a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a> (Screenplay by Peter Straughan) ❤️ 🏆
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Screenplay by Jacques Audiard; In collaboration with Thomas Bidegain, Léa Mysius and Nicolas Livecchi)
<i>Nickel Boys<i> (Screenplay by RaMell Ross & Joslyn Barnes)
<i>Sing Sing<i> (Screenplay by Clint Bentley, Greg Kwedar; Story by Clint Bentley, Greg Kwedar, Clarence Maclin, John “Divine G” Whitfield)

<b>Writing (Original Screenplay)<b>
<a href=""https://boxd.it/8hkTOn""><i>Anora<i></a> (Written by Sean Baker) ❤️ 🏆
<a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a> (Written by Brady Corbet, Mona Fastvold)
<i>A Real Pain<i> (Written by Jesse Eisenberg)
<a href=""https://boxd.it/9urNIR""><i>September 5<i></a> (Written by Moritz Binder, Tim Fehlbaum; Co-Written by Alex David)
<a href=""https://boxd.it/7L1LVp""><i>The Substance<i></a> (Written by Coralie Fargeat)

<b>Animated Feature Film<b>
<i>Flow<i> 🏆
<i>Inside Out 2<i>
<i>Memoir of a Snail<i>
<i>Wallace & Gromit: Vengeance Most Fowl<i>
<i>The Wild Robot<i>

<b>Animated Short Film<b>
<i>Beautiful Men<i>
<i>In the Shadow of the Cypress<i> 🏆
<i>Magic Candies<i>
<i>Wander to Wonder<i>
<i>Yuck!<i>

<b>Cinematography<b>
<a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a> (Lol Crawley) 🏆
<i>Dune: Part Two<i> (Greig Fraser)
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Paul Guilhaume)
<a href=""https://boxd.it/8X5eXV""><i>Maria<i></a> (Ed Lachman) ❤️
<i>Nosferatu<i> (Jarin Blaschke)

<b>Costume Design<b>
<a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a> (Arianne Phillips)
<a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a> (Lisy Christl)
<i>Gladiator II<i> (Janty Yates and Dave Crossman)
<i>Nosferatu<i> (Linda Muir)
<i>Wicked<i> (Paul Tazewell) ❤️ 🏆

<b>Film Editing<b>
<a href=""https://boxd.it/8hkTOn""><i>Anora<i></a> (Sean Baker) ❤️ 🏆
<a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a> (David Jancso)
<a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a> (Nick Emerson)
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Juliette Welfling)
<i>Wicked<i> (Myron Kerstein)

<b>Makeup and Hairstyling<b>
<a href=""https://boxd.it/8K1wK1""><i>A Different Man<i></a> (Mike Marino, David Presto and Crystal Jurado) ❤️
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Julia Floch Carbonel, Emmanuel Janvier and Jean-Christophe Spadaccini)
<i>Nosferatu<i> (David White, Traci Loader and Suzanne Stokes-Munton)
<a href=""https://boxd.it/7L1LVp""><i>The Substance<i></a> (Pierre-Olivier Persin, Stéphanie Guillon and Marilyne Scarselli) 🏆
<i>Wicked<i> (Frances Hannon, Laura Blount and Sarah Nuth)

<b>Live-Action Short Film<b>
<i>A Lien<i>
<i>Anuja<i>
<a href=""https://boxd.it/904BvP""><i>I’m Not a Robot<i></a> 🏆
<i>The Last Ranger<i>
<i>The Man Who Could Not Remain Silent<i>

<b>Music (Original Score)<b>
<a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a> (Daniel Blumberg) ❤️ 🏆
<a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a> (Volker Bertelmann)
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Clément Ducol and Camille)
<i>Wicked<i> (John Powell and Stephen Schwartz)
<i>The Wild Robot<i> (Kris Bowers)

<b>Music (Original Song)<b>
“El Mal” from <a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Music by Clément Ducol and Camille; Lyric by Clément Ducol, Camille and Jacques Audiard) ❤️ 🏆
“The Journey” from <i>The Six Triple Eight<i> (Music and Lyric by Diane Warren)
“Like a Bird” from <i>Sing Sing<i> (Music and Lyric by Abraham Alexander and Adrian Quesada)
“Mi Camino” from <a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Music and Lyric by Camille and Clément Ducol)
“Never Too Late” from <i>Elton John: Never Too Late<i> (Music and Lyric by Elton John, Brandi Carlile, Andrew Watt and Bernie Taupin)

<b>Documentary Feature Film<b>
<i>Black Box Diaries<i>
<i>No Other Land<i> 🏆
<i>Porcelain War<i>
<i>Soundtrack to a Coup d’Etat<i>
<i>Sugarcane<i>

<b>Documentary Short Film<b>
<i>Death by Numbers<i>
<i>I Am Ready, Warden<i>
<a href=""https://boxd.it/8ZkNPl""><i>Incident<i></a>
<a href=""https://boxd.it/8YGZdN""><i>Instruments of a Beating Heart<i></a> ❤️
<i>The Only Girl in the Orchestra<i> 🏆

<b>International Feature Film<b>
<a href=""https://boxd.it/9j8gWf""><i>I’m Still Here<i></a> (Brazil) ❤️ 🏆
<i>The Girl With the Needle<i> (Denmark)
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (France)
<a href=""https://boxd.it/8B39sL""><i>The Seed of the Sacred Fig<i></a> (Germany)
<i>Flow<i> (Latvia)

<b>Production Design<b>
<a href=""https://boxd.it/8XEztH""><i>The Brutalist<i></a> (Judy Becker; Set Decoration: Patricia Cuccia) ❤️
<a href=""https://boxd.it/8Wpwgr""><i>Conclave<i></a> (Suzie Davies; Set Decoration: Cynthia Sleiter)
<i>Dune: Part Two<i> (Patrice Vermette; Set Decoration: Shane Vieau)
<i>Nosferatu<i> (Craig Lathrop; Set Decoration: Beatrice Brentnerová)
<i>Wicked<i> (Nathan Crowley; Set Decoration: Lee Sandales) 🏆

<b>Sound<b>
<a href=""https://boxd.it/8YahyD""><i>A Complete Unknown<i></a> (Tod A. Maitland, Donald Sylvester, Ted Caplan, Paul Massey and David Giammarco) ❤️
<i>Dune: Part Two<i> (Gareth John, Richard King, Ron Bartlett and Doug Hemphill) 🏆
<a href=""https://boxd.it/8zDtCZ""><i>Emilia Pérez<i></a> (Erwan Kerzanet, Aymeric Devoldère, Maxence Dussère, Cyril Holtz and Niels Barletta)
<i>Wicked<i> (Simon Hayes, Nancy Nugent Title, Jack Dolman, Andy Nelson and John Marquis)
<i>The Wild Robot<i> (Randy Thom, Brian Chumney, Gary A. Rizzo and Leff Lefferts)

<b>Visual Effects<b>
<i>Alien: Romulus<i> (Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin and Shane Mahan)
<i>Better Man<i> (Luke Millar, David Clayton, Keith Herft and Peter Stubbs)
<i>Dune: Part Two<i> (Paul Lambert, Stephen James, Rhys Salcombe and Gerd Nefzer) 🏆
<i>Kingdom of the Planet of the Apes<i> (Erik Winquist, Stephen Unterfranz, Paul Story and Rodney Burke)
<i>Wicked<i> (Pablo Helman, Jonathan Fawkner, David Shirk and Paul Corbould)"

Position,Name,Year,URL,Description
1,Anora,2024,https://boxd.it/Egcw,
2,A Complete Unknown,2024,https://boxd.it/oBYa,
3,The Substance,2024,https://boxd.it/zanS,
4,September 5,2024,https://boxd.it/JYsI,
5,I'm Still Here,2024,https://boxd.it/BPEO,
6,Maria,2024,https://boxd.it/Dh4c,
7,Conclave,2024,https://boxd.it/AO8q,
