Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-12,20s-30s-40s-50s Ranked,"top, ranked, 30s, 30sranked, top30s, 40s, 40sranked, top40s, 50s, 50sranked, top50s, 20s, 20sranked, top20s",https://boxd.it/GU3lC,"All the movies, short films, documentaries, tv shows and miniseries released between 1920 and 1959 that I’ve seen."

Position,Name,Year,URL,Description
1,The Shop Around the Corner,1940,https://boxd.it/1DFy,
2,The Red Shoes,1948,https://boxd.it/1EXI,
3,Roman Holiday,1953,https://boxd.it/29zW,
4,Modern Times,1936,https://boxd.it/25MC,
5,Summertime,1955,https://boxd.it/DPw,
6,12 Angry Men,1957,https://boxd.it/2auI,
7,The 400 Blows,1959,https://boxd.it/2b1C,
8,The Kid,1921,https://boxd.it/1X5U,
9,The Scarecrow,1920,https://boxd.it/BB8,
10,Citizen Kane,1941,https://boxd.it/71O,
11,The Wild Party,1929,https://boxd.it/2Nr4,
12,Shanghai Express,1932,https://boxd.it/29ou,
13,Fireworks,1947,https://boxd.it/SjA,
14,Dead Horizons,1951,https://boxd.it/7TQu,
