Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-02-18,NEON Ranked,"top, ranked, neon",https://boxd.it/EgXTC,"All the movies originally produced and/or distributed by <i>Neon<i> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Anora,2024,https://boxd.it/Egcw,
2,Palm Springs,2020,https://boxd.it/lCXQ,
3,Perfect Days,2023,https://boxd.it/ATh8,
4,Anatomy of a Fall,2023,https://boxd.it/yuDE,
5,Triangle of Sadness,2022,https://boxd.it/hXlq,
6,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4,
7,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
8,The Royal Hotel,2023,https://boxd.it/zEvs,
9,Splitsville,2025,https://boxd.it/PGtA,
10,Longlegs,2024,https://boxd.it/KzLM,
11,Petite Maman,2021,https://boxd.it/s6je,
12,Revenge,2017,https://boxd.it/gL9g,
13,Ferrari,2023,https://boxd.it/cEtq,
14,Infinity Pool,2023,https://boxd.it/oPSK,
15,The Monkey,2025,https://boxd.it/Gwiu,
16,Clemency,2019,https://boxd.it/kIko,
