Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-04-19,"Love, Death & Robots ❤️❌🤖 Ranked","top, ranked, love, death & robots, death & robots ranked, death, robots, ld&r",https://boxd.it/G8IGU,"All <i>Love, Death & Robots<i> episodes ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,"Love, Death & Robots: Beyond the Aquila Rift",2019,https://boxd.it/lGTe,
2,"Love, Death & Robots: Zima Blue",2019,https://boxd.it/lJGM,
3,"Love, Death & Robots: The Witness",2019,https://boxd.it/lFO8,
4,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/vhLE,
5,"Love, Death & Robots: Automated Customer Service",2021,https://boxd.it/vhLk,
6,"Love, Death & Robots: Three Robots",2019,https://boxd.it/lECK,
7,"Love, Death & Robots: Shape-Shifters",2019,https://boxd.it/lJFY,
8,"Love, Death & Robots: Good Hunting",2019,https://boxd.it/lJFO,
9,"Love, Death & Robots: Snow in the Desert",2021,https://boxd.it/vhLO,
10,"Love, Death & Robots: Helping Hand",2019,https://boxd.it/lJGW,
11,"Love, Death & Robots: The Secret War",2019,https://boxd.it/lN0g,
12,"Love, Death & Robots: Ice Age",2019,https://boxd.it/lJG8,
13,"Love, Death & Robots: Lucky 13",2019,https://boxd.it/lJGC,
14,"Love, Death & Robots: Suits",2019,https://boxd.it/lFOM,
15,"Love, Death & Robots: When the Yogurt Took Over",2019,https://boxd.it/lFSY,
16,"Love, Death & Robots: Fish Night",2019,https://boxd.it/lJGs,
17,"Love, Death & Robots: Sonnie's Edge",2019,https://boxd.it/lECg,
18,"Love, Death & Robots: Ice",2021,https://boxd.it/vhLu,
19,"Love, Death & Robots: Blindspot",2019,https://boxd.it/lJH6,
20,"Love, Death & Robots: The Tall Grass",2021,https://boxd.it/vdQU,
21,"Love, Death & Robots: Sucker of Souls",2019,https://boxd.it/lFOW,
22,"Love, Death & Robots: The Dump",2019,https://boxd.it/lJGi,
23,"Love, Death & Robots: Alternate Histories",2019,https://boxd.it/lJHg,
