Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-23,5-Star ⭐ Movies,,https://boxd.it/ACVlG,"The best of the best, according to my feelings.

[This list is continually in progress.]"

Position,Name,Year,URL,Description
1,Incendies,2010,https://boxd.it/Msm,
2,Aftersun,2022,https://boxd.it/Arw0,
3,Victoria,2015,https://boxd.it/amSe,
4,Before Sunrise,1995,https://boxd.it/2bcU,
5,Trainspotting,1996,https://boxd.it/29XY,
6,Weekend at Bernie's,1989,https://boxd.it/204U,
7,Little Fish,2020,https://boxd.it/lAFK,
8,Point Break,1991,https://boxd.it/2958,
9,The Class,2007,https://boxd.it/1q08,
10,Only You,2018,https://boxd.it/iAMg,
11,Beautiful Boy,2018,https://boxd.it/g76Q,
12,Dogfight,1991,https://boxd.it/1NCk,
13,The Piano Teacher,2001,https://boxd.it/2886,
14,Before Sunset,2004,https://boxd.it/2bcg,
15,Clueless,1995,https://boxd.it/1Ygk,
16,The Holdovers,2023,https://boxd.it/vHza,
17,I Origins,2014,https://boxd.it/7aRM,
18,Challengers,2024,https://boxd.it/zld0,
19,Lady Bird,2017,https://boxd.it/dGNE,
20,Strange Darling,2023,https://boxd.it/CVIk,
21,Palm Springs,2020,https://boxd.it/lCXQ,
22,Stand by Me,1986,https://boxd.it/2aOe,
23,Risky Business,1983,https://boxd.it/1YUE,
24,The Last Picture Show,1971,https://boxd.it/1weg,
25,Turtles Can Fly,2004,https://boxd.it/20l2,
26,Christiane F.,1981,https://boxd.it/1YiA,
27,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
28,Lovefilm,1970,https://boxd.it/2KTu,
29,Smooth Talk,1985,https://boxd.it/1eTg,
30,Parasite,2019,https://boxd.it/hTha,
31,Nocturnal Animals,2016,https://boxd.it/bkFu,
32,The Cure,1995,https://boxd.it/21nI,
33,Midsommar,2019,https://boxd.it/jhxe,
34,Thelma & Louise,1991,https://boxd.it/28Ew,
35,In the Mood for Love,2000,https://boxd.it/29tE,
36,The Last Letter from Your Lover,2021,https://boxd.it/nGzM,
